firm,report_year,probono_rank_24,amlaw_rank_24,probono_score_24,avg_hrs_24,pct_20ormore_hrs_24,diversity_score_24,firm_leadership_24,talent_management_24,equity_partder_distribution_24,other_attroney_dist_24,pct_attorney_racial_24,pct_equity_partner_racial_24,pct_executive_committee_racial_24,pct_women_attorney,pct_women_partner,pct_women_equity,pct_women_nonequity,pct_women_associates,pct_women_other_attorneys,num_lawyer_23,gr_23,gr_pct_gorwth_23,rpl_23,rpl_pct_growth_23,pep_23,pep_pct_growth_23,profit_margin_23,leverage_23
Kirkland & Ellis,2024,68,1,46,37,54.9,88.74,34.86,13.75,24.92,15.21,25.11,16.84,5.00,39.4,32.1,22.0,0.0,44.9,0.0,3514,7208000000,10.65,2051000,7.49,7955000,5.84,59,6
Latham & Watkins,2024,16,2,82.5,90.2,74.8,67.68,12.11,12.35,26.02,17.2,30.29,13.92,33.33,42.7,26.5,21.0,34.6,49.5,39.2,3450,5688226000,6.90,1649000,2.17,5516000,7.02,53,5
DLA Piper,2024,29,3,66.5,62.4,70.5,89.56,11.97,18.05,35.52,24.02,23.69,11.63,22.22,42.8,25.9,12.3,30.4,51.0,40.8,4561,3829531000,3.92,840000,-3.00,3122000,8.48,27,13
"Skadden, Arps, Slate, Meagher & Flom",2024,11,5,89.4,114.7,64,61.89,16.59,9.5,21.92,13.88,29.26,15.16,15.00,40.5,23.5,23.5,0.0,46.4,36.6,1734,3270091000,8.25,1886000,3.74,5403000,7.78,55,4
Sidley Austin,2024,33,6,64,74.6,53.4,79.95,17.92,11.2,29.78,21.06,25.60,12.44,20.69,42.2,29.1,22.9,33.1,49.7,41.0,2042,3100458000,6.08,1518000,4.69,4592000,10.25,39,7
"Gibson, Dunn & Crutcher",2024,20,7,79.9,91.2,68.6,80.61,14.77,12.5,33.9,19.44,27.03,12.72,15.00,44.3,27.7,23.5,35.9,51.5,40.1,1836,3074016000,12.33,1675000,3.33,5587000,13.44,58,5
Ropes & Gray,2024,17,8,81.4,75.8,86.9,70.07,15.89,12.3,24.82,17.06,26.82,12.72,68.97,44.4,32.0,32.0,0.0,46.7,52.6,1482,2992831000,10.10,2019000,10.75,4514000,6.51,44,4
White & Case,2024,43,9,57.1,60.6,53.7,42.4,5.04,11.4,15.5,10.46,33.69,21.84,25.00,43.0,24.5,19.3,30.9,49.8,0.0,2559,2949400000,4.29,1153000,6.66,3154000,12.64,40,6
Morgan Lewis and Bockius,2024,9,10,93.9,65.9,122,71.61,14.56,13.55,26.96,16.54,24.82,13.86,13.64,43.2,30.5,30.3,38.9,52.0,50.7,2013,2898514000,5.58,1440000,6.82,1967000,2.88,54,2
Hogan Lovells,2024,17,11,81.4,87.2,75.6,62.84,7,15.7,30.02,10.12,27.45,12.02,35.71,43.8,27.7,20.1,34.3,50.8,0.0,2562,2682000000,10.28,1047000,7.16,2742000,20.42,37,6
Jones Day,2024,35,12,62.7,77.9,47.5,79.91,12.74,14.15,24.8,28.22,17.36,12.51,19.57,41.1,29.6,29.6,0.0,49.0,41.0,2342,2666241000,5.43,1138000,3.64,1567000,4.19,49,2
Simpson Thacher & Bartlett,2024,88,13,33.2,36.7,29.7,70.29,19.81,13.1,19.12,18.26,30.03,16.73,8.33,40.4,26.7,22.3,37.3,43.6,45.3,1369,2336050000,8.64,1707000,1.67,6433000,20.94,54,6
